trade_id,entry_date,expiry,right,strike,contracts,entry_premium,close_premium,gross_pnl,commissions,net_pnl,exit_reason,days_held,entry_delta,entry_theta,entry_iv,entry_spy_price,entry_vix,strategy
T0021,2025-07-14,2025-07-18,P,612.0,1,1.3682219224293632,0.6841,68.41,7.6,60.81,profit_target,2,-0.240075,-0.425129,17.7,619.6062115300674,17.729999542236328,sell_put_spread
T0022,2025-07-21,2025-07-25,P,618.0,1,1.355373346980258,0.6777,67.77,7.6,60.17,profit_target,2,-0.243159,-0.409792,16.9,625.1842651367188,16.8700008392334,sell_put_spread
T0023,2025-07-28,2025-08-01,P,628.0,1,1.4177555807789908,1.8669,-44.91,7.6,-52.51,thursday_eod,3,-0.26479,-0.38681,15.1,633.8445768779104,15.149999618530272,sell_put_spread
T0024,2025-08-04,2025-08-08,C,631.0,1,1.5023653655163614,1.2067,29.57,7.6,21.97,thursday_eod,3,0.256242,-0.535467,19.6,622.1019219542782,19.559999465942383,sell_call_spread
T0025,2025-08-11,2025-08-15,P,627.0,1,1.3095764225372228,0.6548,65.48,7.6,57.88,profit_target,1,-0.242753,-0.387612,15.8,633.824713555593,15.8100004196167,sell_put_spread
T0026,2025-08-12,2025-08-15,P,629.0,1,1.2976492712581233,0.6488,64.88,7.6,57.28,profit_target,1,-0.257788,-0.474307,16.1,634.6499095494731,16.09000015258789,sell_put_spread
T0027,2025-08-18,2025-08-22,P,633.0,1,1.445937441126695,2.6069,-116.1,10.6,-126.7,delta_stop,3,-0.262766,-0.404457,15.7,639.1939154739885,15.729999542236328,sell_put_spread
T0028,2025-08-25,2025-08-29,P,634.0,1,1.3142977326391296,0.6571,65.72,7.6,58.12,profit_target,2,-0.24857,-0.376204,15.1,640.3671451910226,15.050000190734863,sell_put_spread
T0029,2025-09-02,2025-09-05,C,641.0,1,1.1836224701694675,2.4316,-124.8,10.6,-135.4,loss_stop,1,0.240346,-0.518059,16.6,633.8644906037873,16.649999618530273,sell_call_spread
T0030,2025-09-08,2025-09-12,P,638.0,1,1.2953923586916325,0.6477,64.77,7.6,57.17,profit_target,2,-0.24031,-0.386309,15.6,644.9210585487652,15.579999923706056,sell_put_spread
T0031,2025-09-15,2025-09-19,P,649.0,1,1.27628598978745,0.6381,63.82,7.6,56.22,profit_target,3,-0.238933,-0.379998,15.1,655.8782140097094,15.140000343322754,sell_put_spread
T0032,2025-09-22,2025-09-26,P,653.0,1,1.3626087697042308,1.0137,34.89,7.6,27.29,thursday_eod,3,-0.243144,-0.413028,16.1,660.2490220888672,16.139999389648438,sell_put_spread
T0033,2025-09-29,2025-10-03,P,656.0,1,1.4965309604608237,0.7483,74.82,7.6,67.22,profit_target,2,-0.264655,-0.423705,15.8,662.4026597035332,15.84000015258789,sell_put_spread
T0034,2025-10-06,2025-10-10,P,662.0,1,1.4027765624354274,0.7014,70.14,7.6,62.54,profit_target,2,-0.242963,-0.435187,16.7,669.6412668959266,16.739999771118164,sell_put_spread
T0035,2025-10-13,2025-10-17,C,668.0,1,1.5536620249248756,0.7768,77.69,7.6,70.09,profit_target,3,0.25798,-0.565984,19.5,658.7036354539871,19.450000762939453,sell_call_spread
T0036,2025-10-20,2025-10-24,P,656.0,1,1.5614007059493034,0.7807,78.07,7.6,70.47,profit_target,1,-0.243042,-0.535703,20.5,665.3539499346838,20.530000686645508,sell_put_spread
T0037,2025-10-21,2025-10-24,P,662.0,1,1.372497629504096,0.6862,68.63,7.6,61.03,profit_target,2,-0.242861,-0.566418,18.6,669.4617772299453,18.649999618530273,sell_put_spread
T0038,2025-10-27,2025-10-31,P,674.0,1,1.4761060104993575,0.7381,73.8,7.6,66.2,profit_target,1,-0.259188,-0.42788,15.7,680.7185156175003,15.729999542236328,sell_put_spread
T0039,2025-10-28,2025-10-31,P,679.0,1,1.360790568926987,2.795,-143.42,10.6,-154.02,loss_stop,2,-0.258374,-0.507847,15.9,685.0257863269245,15.949999809265137,sell_put_spread
T0040,2025-11-03,2025-11-07,P,676.0,1,1.624110911530849,4.1853,-256.12,10.6,-266.72,loss_stop,1,-0.262593,-0.500367,18.1,683.6498738048132,18.059999465942383,sell_put_spread
T0041,2025-11-04,2025-11-07,P,666.0,1,1.394657981589475,0.6973,69.74,7.6,62.14,profit_target,1,-0.238657,-0.599233,19.7,674.1180423048241,19.729999542236328,sell_put_spread
T0042,2025-11-10,2025-11-14,P,667.0,1,1.5527538091617643,0.7764,77.64,7.6,70.04,profit_target,1,-0.251047,-0.497954,18.6,675.2447347362015,18.579999923706055,sell_put_spread
T0043,2025-11-11,2025-11-14,P,671.0,1,1.407525290676844,0.7038,70.37,7.6,62.77,profit_target,1,-0.251546,-0.559584,17.9,677.9467300747958,17.899999618530273,sell_put_spread
T0044,2025-11-17,2025-11-21,C,678.0,1,1.4396709150461149,0.7198,71.99,7.6,64.39,profit_target,1,0.240003,-0.554845,19.6,667.7269573864955,19.579999923706055,sell_call_spread
T0045,2025-11-18,2025-11-21,C,670.0,1,1.557066933976813,0.7785,77.86,7.6,70.26,profit_target,2,0.25368,-0.77595,23.5,660.1493223141129,23.540000915527344,sell_call_spread
T0046,2025-11-24,2025-11-28,C,672.0,1,1.5985300919481418,3.7391,-214.06,10.6,-224.66,loss_stop,1,0.249766,-0.646735,22.7,660.7375826041805,22.690000534057617,sell_call_spread
T0047,2025-11-25,2025-11-28,C,676.0,1,1.357338264340214,3.6387,-228.14,10.6,-238.74,loss_stop,1,0.23759,-0.662728,20.5,666.6600618545837,20.549999237060547,sell_call_spread
T0048,2025-12-01,2025-12-05,P,669.0,1,1.5699703310514934,0.785,78.5,7.6,70.9,profit_target,1,-0.256415,-0.48932,18.0,676.8100876493213,18.049999237060547,sell_put_spread
T0049,2025-12-02,2025-12-05,P,673.0,1,1.3411951305207666,0.6706,67.06,7.6,59.46,profit_target,1,-0.245796,-0.534554,17.3,679.91089945233,17.280000686645508,sell_put_spread
T0050,2025-12-08,2025-12-12,P,677.0,1,1.3834038500356058,0.6917,69.17,7.6,61.57,profit_target,2,-0.241877,-0.427369,16.1,684.5672069678625,16.149999618530273,sell_put_spread
T0051,2025-12-15,2025-12-19,P,676.0,1,1.402683738941441,5.6166,-421.39,10.6,-431.99,loss_stop,2,-0.242204,-0.437195,16.5,683.7196756361553,16.510000228881836,sell_put_spread
T0052,2025-12-22,2025-12-26,P,677.0,1,1.3581543592509178,0.6791,67.91,7.6,60.31,profit_target,1,-0.245985,-0.402784,15.2,683.9400024414062,15.15999984741211,sell_put_spread
T0053,2025-12-23,2025-12-26,P,678.0,1,1.1109159830543156,0.5555,55.54,7.6,47.94,profit_target,1,-0.235435,-0.424349,14.1,683.9199829101562,14.09000015258789,sell_put_spread
T0054,2025-12-29,2026-01-02,P,681.0,1,1.3786223269424909,0.6893,68.93,7.6,61.33,profit_target,7,-0.252397,-0.396679,14.7,687.5399780273438,14.6899995803833,sell_put_spread
T0055,2026-01-05,2026-01-09,P,680.0,1,1.4438755771913208,0.7219,72.2,7.6,64.6,profit_target,1,-0.258334,-0.413719,15.1,686.5399780273438,15.140000343322754,sell_put_spread
T0056,2026-01-06,2026-01-09,P,682.0,1,1.2549202980392309,0.6275,62.74,7.6,55.14,profit_target,1,-0.249693,-0.470004,15.0,687.9299926757812,15.0,sell_put_spread
T0057,2026-01-12,2026-01-16,P,683.0,1,1.3692149188590577,0.6846,68.46,7.6,60.86,profit_target,1,-0.239459,-0.426421,16.1,690.6799926757812,16.059999465942383,sell_put_spread
T0058,2026-01-13,2026-01-16,P,689.0,1,1.2133825085419971,0.974,23.94,7.6,16.34,thursday_eod,2,-0.238386,-0.475678,15.4,695.489990234375,15.359999656677246,sell_put_spread
T0059,2026-01-20,2026-01-23,C,690.0,1,1.4842870700875892,1.762,-27.77,7.6,-35.37,thursday_eod,2,0.256764,-0.686839,19.9,681.489990234375,19.940000534057617,sell_call_spread
T0060,2026-01-26,2026-01-30,P,683.0,1,1.5220209381549665,0.761,76.1,7.6,68.5,profit_target,1,-0.255219,-0.46469,16.9,690.489990234375,16.899999618530273,sell_put_spread
T0061,2026-01-27,2026-01-30,P,688.0,1,1.3665574405639376,0.6833,68.33,7.6,60.73,profit_target,2,-0.256888,-0.515533,16.0,694.1799926757812,16.020000457763672,sell_put_spread
T0062,2026-02-02,2026-02-06,C,700.0,1,1.5340695587211783,0.767,76.71,7.6,69.11,profit_target,2,0.248295,-0.59454,20.0,689.5800170898438,19.950000762939453,sell_call_spread
T0063,2026-02-09,2026-02-13,C,699.0,1,1.4302932011447567,0.7151,71.52,7.6,63.92,profit_target,3,0.243811,-0.531873,18.0,689.4199829101562,17.950000762939453,sell_call_spread
T0064,2026-02-17,2026-02-20,C,690.0,1,1.4441285314710228,0.916,52.81,7.6,45.21,thursday_eod,2,0.242495,-0.722138,21.7,680.1400146484375,21.739999771118164,sell_call_spread
T0065,2026-02-23,2026-02-27,C,698.0,1,1.6287819959103444,0.8144,81.44,7.6,73.84,profit_target,3,0.258991,-0.622542,20.5,687.8300170898438,20.489999771118164,sell_call_spread
T0066,2026-03-02,2026-03-06,C,691.0,1,1.7024366125312724,0.8512,85.12,7.6,77.52,profit_target,3,0.254521,-0.727272,24.7,678.7000122070312,24.65999984741211,sell_call_spread
T0067,2026-03-09,2026-03-13,C,684.0,1,1.8288527697551586,0.9144,91.45,7.6,83.85,profit_target,3,0.249755,-0.996333,35.1,666.3900146484375,35.119998931884766,sell_call_spread
